uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,HOSPITAL,"< 9",F,1
AC,OUTRAS,HOSPITAL,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",M,1
AL,OUTRAS,HOSPITAL,"< 9",F,2
AL,OUTRAS,HOSPITAL,"< 9",M,2
AL,PNEUMONIA,HOSPITAL,"< 9",F,1
AL,SEPTICEMIA,HOSPITAL,"< 9",F,2
AL,SEPTICEMIA,HOSPITAL,"< 9",M,1
AM,OUTRAS,HOSPITAL,"< 9",F,2
AM,OUTRAS,HOSPITAL,"< 9",M,10
AM,COVID,HOSPITAL,"< 9",M,1
AM,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,1
AM,PNEUMONIA,HOSPITAL,"< 9",F,1
AM,SEPTICEMIA,HOSPITAL,"< 9",F,2
AM,SEPTICEMIA,HOSPITAL,"< 9",M,7
AM,SRAG,HOSPITAL,"< 9",M,2
BA,OUTRAS,DOMICILIO,"< 9",F,2
BA,OUTRAS,HOSPITAL,"< 9",F,3
BA,OUTRAS,HOSPITAL,"< 9",I,1
BA,OUTRAS,HOSPITAL,"< 9",M,6
BA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,1
BA,COVID,HOSPITAL,"< 9",F,1
BA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,3
BA,PNEUMONIA,HOSPITAL,"< 9",M,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,3
CE,OUTRAS,HOSPITAL,"< 9",F,3
CE,OUTRAS,HOSPITAL,"< 9",M,4
CE,SEPTICEMIA,HOSPITAL,"< 9",F,1
CE,SEPTICEMIA,HOSPITAL,"< 9",M,1
DF,OUTRAS,HOSPITAL,"< 9",F,3
DF,OUTRAS,HOSPITAL,"< 9",M,2
DF,OUTRAS,IGNORADO,"< 9",F,1
DF,COVID,HOSPITAL,"< 9",M,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,2
DF,SEPTICEMIA,HOSPITAL,"< 9",M,3
ES,OUTRAS,DOMICILIO,"< 9",F,1
ES,OUTRAS,HOSPITAL,"< 9",F,1
